"Authorize cancellation or refund","Autorizar"
"Savings Account","Conta Poupança"
"Checking Account","Conta Corrente"
"The refund will be made to the same card with which the payment was made","O reembolso será feito no mesmo cartão com o qual foi feito o pagamento"
"Request authorized successfully!","Solicitação autorizada com sucesso!"
"Authorize Cancellation Request","Autorização de cancelamento"
"Authorize","Autorizar"
"Refund Total","Estorno Total"
"No Refund","Sem Estorno"
"Bank Ticket Number","Número do boleto bancário"
"Bank","Banco"
"Account Type","Tipo de conta"
"Agency","Agencia"
"Cancel Amount","Valor de estorno"
"Product out of stock","Produto fora de estoque"
"At customer's request","A pedido do cliente"
"Other","Outro"
"Otro","Outro"
"Store Commission","Take rate"
"Inform the weight in KG","Informe o peso em KG"
"Price x Kg","Preço por KG"
"See All","Ver todos"
"No Result","Sem resultados"
"We can not authorize the request, Please try again.","Não podemos autorizar a solicitação. Tente novamente."
"Reason for Cancellation","Motivo do Cancelamento"
"Description of cancellation","Descrição do cancelamento"
"Authorization Data","Detalhes da Autorização"
"We can not sent the request, Please try again.","Não podemos enviar o pedido. Por favor, tente novamente."
"Request sent successfully!","Solicitação enviado com sucesso!"
"Request for cancellation/refund","Solicitação de cancelamento/estorno"
"Request for cancellation/refund accepted","Pedido de cancelamento/estorno aceito"
"Cancellation reason","Motivo do cancelamento/estorno"
"Reason description","Descrição do motivo"
"Payment method","Forma de pagamento"
"Cancel Request For Seller","Pedido de cancelamento para o vendedor"
"This email is sent when customer send a cancel request","Este e-mail é enviado quando o cliente envia um pedido de cancelamento"
"Cancellation Request Data","Dados de solicitação de cancelamento/estorno"
"Fill in the form","Preencher formulario"
"Cancellation or refund request already exists","Já existe solicitação de cancelamento ou devolução"
"Reason for cancellation","Motivo do cancelamento/estorno"
"Credit memo generated in the cancellation request authorization","Nota de crédito gerada na autorização do pedido de cancelamento"
