"A total of %1 record(s) have been deleted","تم حذف إجمالي ٪1 من سجل (سجلات)"
"An error occurred while deleting record(s)","حدث خطأ أثناء حذف السجل (السجلات)"
"Save and Continue Edit","حفظ ومتابعة التحرير"
"Seller","بائع"
"Image","صورة"
"ID","هوية شخصية "
"Title","لقب"
"Subject","موضوع"
"Sort Order","ترتيب الفرز"
"Description","وصف"
"Save Status","حفظ الحالة"
"The Status has been deleted.","تم حذف الحالة."
"The Status has been saved.","تم حفظ الحالة."
"This Status no longer exists.","هذه الحالة لم تعد موجودة."
"Something went wrong while saving the Status","حدث خطأ ما أثناء حفظ الحالة"
"Store email id","معرف البريد الإلكتروني للمتجر"
"Store Contact Number","رقم الاتصال بالمتجر"
"Store Address","عنوان المحل"
"Store Description","وصف المتجر"
"Store Shipping Policy","سياسة شحن المتجر"
"Store Return Policy","سياسة إرجاع المتجر"
"Store Shipping Policy","سياسة شحن المتجر"
"Store Return Policy","سياسة إرجاع المتجر"
"Store Name","اسم المتجر"
"Store Banner","بانر المتجر"
"Store Logo","شعار المتجر"
"Store Meta Description","وصف ميتا للمتجر"
"Store Meta Keywords","كلمات ميتا الرئيسية للمتجر"
"Store Return Policy","سياسة إرجاع المتجر"
"Store Shipping Policy","سياسة شحن المتجر"
"Store Description","وصف المتجر"
"Store Zipcode","الرمز البريدي للمتجر"
"Store City","مدينة المتجر"
"Store State/Province","ولاية / مقاطعة المتجر"
"Store Country","بلد المتجر"
"Store Address","عنوان المتجر"
"Store Bank Details","المعلومات البنكية للمتجر"
"Store TIN Number","رقم TIN للمتجر"
"Store Email Address","عنوان البريد الإلكتروني الخاص بالمتجر"
"Store Phone Number","رقم هاتف المتجر"
"Store Review","مراجعة المتجر"
"Store Review Title","عنوان مراجعة المتجر"
"Store Review Description","وصف مراجعة المتجر"
"Store Rating","تقييم المتجر"
"Store Review Submit","إرسال مراجعة المتجر"
"Seller Commission","عمولة البائع"
"Order ID","رقم الطلبية"
" Date","تاريخ"
"Order Commission","عمولة الطلب"
"Commission Status","حالة العمولة"
"No Commission Added Yet","لم يتم اضافة عمولة بعد"
"Commission Record","سجل العمولات"
"Payment Record","سجل الدفع"
"No Payment Added Yet","لم تتم إضافة الدفع بعد"
"Payment Transaction Number","رقم معاملة الدفع"
"Payment Amount","مبلغ الدفع "
"Payment Mode","طريقة الدفع"
"Seller Payment","وسيلة الدفع للبائع"
"Admin Commissions","مشرف العمولة"
"Submit Store Review","إرسال استعراض المتجر"
"Thank you for your valuable review","شكرا لمراجعتك القيمة "
"SOLD BY : ","تم بيعها من قبل : "
"Become a Seller","كن بائعًا"
"Store Url","رابط المتجر"
"Become Seller","كن بائعًا"
"Enter Unique Store URL","أدخل رابط المتجر"
"Waiting for admin approval","بانتظار موافقة المدير"
"You removed your account previously, so to again add as seller please select yes","لقد قمت بإزالة حسابك من قبل ، لذا لكي تضيف مرة أخرى كبائع ، يرجى تحديد نعم"
"'You really want to remove as seller ?","""هل تريد حقًا إزالتك كبائع؟"
"Remove as seller","إزالة كبائع"
"Successfully remove as seller","تمت الإزالة بنجاح كبائع"
"Store updated successfully","تم تحديث المتجر بنجاح"
"My Store","متجري"
"View Profile","عرض الصفحة الشخصية "
"Filter","منقي"
"Become Seller","كن بائعًا"
"My Store","متجري"
"Products","المنتجات"
"Attributes","الخيارات"
"Vendor Orders","طلبات البائعين"
"Admin Commissions","اللجان الادارية"
"Payments","المدفوعات"
"Remove as Seller","إزالة كبائع"
"Seller Menu","قائمة البائع"
"Something went wrong while saving the review","حدث خطأ ما أثناء حفظ المراجعة"
"Product Quantity","كمية المنتج"
"Something went wrong while saving the details","حدث خطأ ما أثناء حفظ التفاصيل"
"Regular Price","السعر عادي"
"Product Name","اسم المنتج"
"Product SKU","كود المنتج:"
"Ordered","المطلوب"
"Canceled","ألغيت"
"Shipped","شحنها"
"Refunded","مُسترد"
"Payment Method","وسيلة الدفع"
"Items Ordered","العناصر المطلوبة"
"Invoices","الفواتير"
"Order Shipments","ترتيب الشحنات"
"Qty","الكمية"
"Subtotal","الاجمالى"
"Shipping & Handling","شحن وتسليم"
"Tax","الضريبة"
"Grand Total","المجموع الكلي"
"Order Information","معلومات الطلب"
"Shipping Address","عنوان الارسالية"
"Shipping Method","وسيلة الشحن"
"Billing Address","عنوانك"
"Print","طباعة"
"Qty Invoiced","الكمية المفوترة"
"Qty Shipped","الكمية المشحونة"
"Invoice","فاتورة"
"Ship","شحن"
"New Invoice","فاتورة جديدة"
"Order & Account Information","معلومات الطلب والحساب"
"Order #","ترتيب #"
"Order Date","تاريخ الطلبية"
"Order Status","حالة الطلب"
"Account Information","معلومات الحساب "
"Customer Name","اسم العميل"
"Email","البريد الإلكتروني"
"Address Information","معلومات العنوان "
"Billing Address","عنوان وصول الفواتير"
"Shipping Address","عنوان الشحن"
"Payment & Shipping Method","طريقة الدفع والشحن"
"Payment Information","معلومات الدفع"
"The order was placed using","تم وضع الطلب باستخدام"
"Shipping Information","معلومات الشحن"
"Total Shipping Charges","مجموع رسوم الشحن"
"Items to Invoice","البنود في الفاتورة"
"Discount Amount","مقدار الخصم"
"Row Total","إجمالي الصف"
"Order Total","اجمالي مبلغ الطلبية"
"Invoice History","تاريخ الفاتورة"
"Invoice Totals","إجماليات الفاتورة"
"Subtotal","الاجمالى"
"Shipping & Handling","شحن وتسليم"
"Discount Amount","مقدار الخصم"
"Invoice Comments","تعليقات الفاتورة"
"Invoice save successfully","تم حفظ الفاتورة بنجاح"
"New Shipment","شحنة جديدة"
"Items to Ship","عناصر الشحن"
"Shipment Total","إجمالي الشحنة"
"Shipment Comments","تعليقات الشحن"
"Comment Text","نص التعليق"
"Submit Shipment","إرسال الشحنة"
"Shipment save successfully","تم حفظ الشحنة بنجاح"
"Total Sales","إجمالي المبيعات"
"Paid Amount","المبلغ المدفوع"
"Due Amount","مبلغ المستحق"
"Review","مراجعة"
"Commissions","العمولة "
"Order","طلب"
"Special Price","سعر خاص"
"Products","المنتجات"
"No Products Added Yet","لا يوجد منتجات مضافه"
"Order Record","سجل الطلب"
"Order #","ترتيب #"
"Ship To","إشحن الى "
"Status","الحالة"
"View Order","مشاهدة الطلب"
"No Orders Yet","لا أوامر بعد"
"SKU","كود المنتج"
"Price","السعر"
"Submit","عرض"
"Shipment can not save","لا يمكن حفظ الشحنة"
"Invoice can not save","لا يمكن حفظ الفاتورة"
"Not Able to send Email","غير قادر على إرسال البريد الإلكتروني"
"Store Name : ","اسم المتجر: "
"Contact Number : ","رقم الاتصال "
"Address : ","العنوان : "
"Store Email : ","البريد الإلكتروني للمتجر: "
"Ship to :","شحن إلى"
"Order Date :"," تاريخ الطلب"
"Seller Order","طلب البائع"
"Create Attribute for Configurable Products :","إنشاء سمة للمنتجات القابلة للتكوين:"
"Attribute Code :","كود السمة:"
"Submit","موافقة"
"Add Option","إضافة خيار"
"Value","القيمة"
"Manage Options (Values of Your Attribute)","إدارة الخيارات (قيم السمة الخاصة بك)"
"No","لا"
"Yes","نعم"
"Values Required : ","القيم المطلوبة: "
"Attribute Label : ","تصنيف السمات: "
"Here are the products you are about to create.","إليك المنتجات التي أنت على وشك إنشائها."
"New Product Review","مراجعة جديدة للمنتج"
"Step 4: Summary","الخطوة 4: الملخص"
"Skip quantity at this time","تخطي الكمية في هذا الوقت"
"Quantity","كمية"
"Skip price at this time","تخطي السعر في هذا الوقت"
"Price","السعر"
"Skip image uploading at this time","تخطي تحميل الصور في هذا الوقت"
"Images","الصور "
"new products will be created. Use this step to customize images and price for your new products.","سيتم إنشاء منتجات جديدة. استخدم هذه الخطوة لتخصيص الصور والأسعار لمنتجاتك الجديدة. "
"Based on your selections","بناء على اختياراتك"
"Step 3: Bulk Images, Price and Quantity","الخطوة 3: الصور بالجملة والسعر والكمية"
