"A total of %1 record(s) have been deleted","Insgesamt wurden% 1 Datensatz (e) gelöscht"
"An error occurred while deleting record(s)","Beim Löschen von Datensätzen ist ein Fehler aufgetreten"
"Save and Continue Edit","Speichern und weiterbearbeiten"
"Seller","Verkäufer"
"Image","Bild"
"ID","ID"
"Title","Titel"
"Subject","Fach"
"Sort Order","Sortierung"
"Description","Beschreibung"
"Save Status","Status speichern"
"The Status has been deleted.","Der Status wurde gelöscht."
"The Status has been saved.","Der Status wurde gespeichert."
"This Status no longer exists.","Dieser Status existiert nicht mehr."
"Something went wrong while saving the Status","Beim Speichern des Status ist ein Fehler aufgetreten"
"Store email id","E-Mail-ID speichern"
"Store Contact Number","Geschäftskontaktnummer"
"Store Address","Adresse des Geschäfts:"
"Store Description","Store-Beschreibung"
"Store Shipping Policy","Shop Versandrichtlinie"
"Store Return Policy","Store Rückgaberecht"
"Store Shipping Policy","Shop Versandrichtlinie"
"Store Return Policy","Store Rückgaberecht"
"Store Name","Name des Shops"
"Store Banner","Speichern Sie Banner"
"Store Logo","Logo speichern"
"Store Meta Description","Meta-Beschreibung speichern"
"Store Meta Keywords","Speichere Meta-Schlüsselwörter"
"Store Return Policy","Store Rückgaberecht"
"Store Shipping Policy","Shop Versandrichtlinie"
"Store Description","Store-Beschreibung"
"Store Zipcode","Postleitzahl speichern"
"Store City","Stadt speichern"
"Store State/Province","Laden Staat / Provinz"
"Store Country","Land speichern"
"Store Address","Adresse des Geschäfts:"
"Store Bank Details","Bankdaten speichern"
"Store TIN Number","ZIN-Nummer speichern"
"Store Email Address","E-Mail-Adresse speichern"
"Store Phone Number","Telefonnummer speichern"
"Store Review","4. Store Review"
"Store Review Title","Store Review Titel"
"Store Review Description","Store Review Beschreibung"
"Store Rating","Ladenbewertung"
"Store Review Submit","Store Review Senden"
"Seller Commission","Verkäufer Kommission"
"Order ID","Order ID"
" Date","Datum"
"Order Commission","Bestellkommission"
"Commission Status","Status der Kommission"
"No Commission Added Yet","Noch keine Kommission hinzugefügt"
"Commission Record","Kommissionsakte"
"Payment Record","Zahlungs Aufzeichnung"
"No Payment Added Yet","Noch keine Zahlung hinzugefügt"
"Payment Transaction Number","Zahlungsvorgangsnummer"
"Payment Amount","Zahlungsbetrag"
"Payment Mode","Zahlungsart"
"Seller Payment","Verkäuferzahlung"
"Admin Commissions","Admin-Provisionen"
"Submit Store Review","Senden Sie den Store Review ein"
"Thank you for your valuable review","Vielen Dank für Ihre wertvolle Bewertung"
"SOLD BY : ","Angeboten durch "
"Become a Seller","Werden Sie ein Verkäufer"
"Store Url","Shop URL"
"Become Seller","Verkäufer werden"
"Enter Unique Store URL","Geben Sie die eindeutige Store-URL ein"
"Waiting for admin approval","Warten auf Admin-Genehmigung"
"You removed your account previously, so to again add as seller please select yes","Sie haben Ihr Konto zuvor gelöscht. Um es erneut als Verkäufer hinzuzufügen, wählen Sie bitte Ja"
"'You really want to remove as seller ?","Sie möchten wirklich als Verkäufer entfernen?"
"Remove as seller","Entfernen Sie als Verkäufer"
"Successfully remove as seller","Erfolgreich als Verkäufer entfernen"
"Store updated successfully","Shop erfolgreich aktualisiert"
"My Store","Mein Store"
"View Profile","Profil anzeigen"
"Filter","Filter"
"Become Seller","Verkäufer werden"
"My Store","Mein Store"
"Products","Produkte"
"Attributes","Attribute"
"Vendor Orders","Anbieter Bestellungen"
"Admin Commissions","Admin-Provisionen"
"Payments","Zahlungen"
"Remove as Seller","Entfernen als Verkäufer"
"Seller Menu","Anbieter Menu"
"Something went wrong while saving the review","Beim Speichern der Bewertung ist ein Fehler aufgetreten"
"Product Quantity","Produktmenge"
"Something went wrong while saving the details","Beim Speichern der Details ist ein Fehler aufgetreten"
"Regular Price","Regulärer Preis"
"Product Name","Produktname"
"Product SKU","Produkt SKU"
"Ordered","Bestellt"
"Canceled","Abgebrochen"
"Shipped","Versandt"
"Refunded","Zurückerstattet"
"Payment Method","Zahlungsart"
"Items Ordered","Bestellte Artikel"
"Invoices","Rechnungen"
"Order Shipments","Bestellungen versenden"
"Qty","Menge"
"Subtotal","Zwischensumme"
"Shipping & Handling","Liefer- und Versandkosten"
"Tax","Steuer"
"Grand Total","Gesamt"
"Order Information","Bestell-Informationen"
"Shipping Address","Versandadresse "
"Shipping Method","Versandart"
"Billing Address","Rechnungsadresse"
"Print","Drucken"
"Qty Invoiced","Menge in Rechnung gestellt"
"Qty Shipped","Menge verschickt"
"Invoice","Rechnung"
"Ship","Schiff"
"New Invoice","Neue Rechnung "
"Order & Account Information","Bestell- und Kontoinformationen"
"Order #","Bestellungs-Nr."
"Order Date","Auftragsdatum"
"Order Status","Auftragsstatus"
"Account Information","Kontoinformationen"
"Customer Name","Kunden Vorname"
"Email","Email"
"Address Information","Adresse"
"Billing Address","Rechnungsadresse"
"Shipping Address","Versandadresse "
"Payment & Shipping Method","Zahlung und Versandart"
"Payment Information","Zahlungsinformationen"
"The order was placed using","Der Auftrag wurde mit verwendet"
"Shipping Information","Lieferinformationen"
"Total Shipping Charges","Gesamt Versandkosten"
"Items to Invoice","Artikel zur Rechnung"
"Discount Amount","Aktionsmenge"
"Row Total","Reihe insgesamt"
"Order Total","Gesamtsumme"
"Invoice History","Rechnungsverlauf"
"Invoice Totals","Rechnungstotal"
"Subtotal","Zwischensumme"
"Shipping & Handling","Liefer- und Versandkosten"
"Discount Amount","Aktionsmenge"
"Invoice Comments","Rechnung Kommentare"
"Invoice save successfully","Rechnung erfolgreich gespeichert"
"New Shipment","Neue Lieferung"
"Items to Ship","Zu versendende Artikel"
"Shipment Total","Sendungssumme"
"Shipment Comments","Versandkommentare"
"Comment Text","Kommentartext"
"Submit Shipment","Sendung absenden"
"Shipment save successfully","Sendung erfolgreich gespeichert"
"Total Sales","Gesamter Umsatz"
"Paid Amount","Bezahlte Menge"
"Due Amount","Fälliger Betrag"
"Review","Lernen"
"Commissions","Kommissionen"
"Order","Order"
"Special Price","Sonderpreis"
"Products","Produkte"
"No Products Added Yet","Keine Produkte hinzugefügt"
"Order Record","Bestelldatensatz"
"Order #","Bestellungs-Nr."
"Ship To","Liefern nach"
"Status","Status"
"View Order","Bestellung anzeigen"
"No Orders Yet","Noch keine Bestellungen"
"SKU","Artikel-Nr."
"Price","Preis"
"Submit","Senden"
"Shipment can not save","Sendung kann nicht speichern"
"Invoice can not save","Rechnung kann nicht gespeichert werden"
"Not Able to send Email","Nicht in der Lage, E-Mails zu senden"
"Store Name : ","Name des Shops "
"Contact Number : ","Kontaktnummer "
"Address : ","Adresse: "
"Store Email : ","E-Mail des Geschäfts: "
"Ship to :","Liefern nach"
