A total of %1 record(s) have been deleted,A total of %1 record(s) have been deleted
An error occurred while deleting record(s),An error occurred while deleting record(s)
Save and Continue Edit,Save and Continue Edit
Seller,Seller
Image,Image
ID,ID
Title,Title
Subject,Subject
Sort Order,Sort Order
Description,Description
Save Status,Save Status
The Status has been deleted.,The Status has been deleted.
The Status has been saved.,The Status has been saved.
This Status no longer exists.,This Status no longer exists.
Something went wrong while saving the Status,Something went wrong while saving the Status
Store email id,Store email id
Store Contact Number,Store Contact Number
Store Address,Store Address
Store Description,Store Description
Store Shipping Policy,Store Shipping Policy
Store Return Policy,Store Return Policy
Store Shipping Policy,Store Shipping Policy
Store Return Policy,Store Return Policy
Store Name,Store Name
Store Banner,Store Banner
Store Logo,Store Logo
Store Meta Description,Store Meta Description
Store Meta Keywords,Store Meta Keywords
Store Return Policy,Store Return Policy
Store Shipping Policy,Store Shipping Policy
Store Description,Store Description
Store Zipcode,Store Zipcode
Store City,Store City
Store State/Province,Store State/Province
Store Country,Store Country
Store Address,Store Address
Store Bank Details,Store Bank Details
Store TIN Number,Store TIN Number
Store Email Address,Store Email Address
Store Phone Number,Store Phone Number
Store Review,Store Review
Store Review Title,Store Review Title
Store Review Description,Store Review Description
Store Rating,Store Rating
Store Review Submit,Store Review Submit
Seller Commission,Seller Commission
Order ID,Order ID
 Date, Date
Order Commission,Order Commission
Commission Status,Commission Status
No Commission Added Yet,No Commission Added Yet
Commission Record,Commission Record
Payment Record,Payment Record
No Payment Added Yet,No Payment Added Yet
Payment Transaction Number,Payment Transaction Number
Payment Amount,Payment Amount
Payment Mode,Payment Mode
Seller Payment,Seller Payment
Admin Commissions,Admin Commissions
Submit Store Review,Submit Store Review
Thank you for your valuable review,Thank you for your valuable review
SOLD BY : ,SOLD BY : 
Become a Seller,Become a Seller
Store Url,Store Url
Become Seller,Become Seller
Enter Unique Store URL,Enter Unique Store URL
Waiting for admin approval,Waiting for admin approval
"You removed your account previously, so to again add as seller please select yes","You removed your account previously, so to again add as seller please select yes"
'You really want to remove as seller ?,'You really want to remove as seller ?
Remove as seller,Remove as seller
Successfully remove as seller,Successfully remove as seller
Store updated successfully,Store updated successfully
My Store,My Store
View Profile,View Profile
Filter,Filter
Become Seller,Become Seller
My Store,My Store
Products,Products
Attributes,Attributes
Vendor Orders,Vendor Orders
Admin Commissions,Admin Commissions
Payments,Payments
Remove as Seller,Remove as Seller
Seller Menu,Seller Menu
Something went wrong while saving the review,Something went wrong while saving the review
Product Quantity,Product Quantity
Something went wrong while saving the details,Something went wrong while saving the details
Regular Price,Regular Price
Product Name,Product Name
Product SKU,Product SKU
Ordered,Ordered
Canceled,Canceled
Shipped,Shipped
Refunded,Refunded
Payment Method,Payment Method
Items Ordered,Items Ordered
Invoices,Invoices
Order Shipments,Order Shipments
Qty,Qty
Subtotal,Subtotal
Shipping & Handling,Shipping & Handling
Tax,Tax
Grand Total,Grand Total
Order Information,Order Information
Shipping Address,Shipping Address
Shipping Method,Shipping Method
Billing Address,Billing Address
Print,Print
Qty Invoiced,Qty Invoiced
Qty Shipped,Qty Shipped
Invoice,Invoice
Ship,Ship
New Invoice,New Invoice
Order & Account Information,Order & Account Information
Order #,Order #
Order Date,Order Date
Order Status,Order Status
Account Information,Account Information
Customer Name,Customer Name
Email,Email
Address Information,Address Information
Billing Address,Billing Address
Shipping Address,Shipping Address
Payment & Shipping Method,Payment & Shipping Method
Payment Information,Payment Information
The order was placed using,The order was placed using
Shipping Information,Shipping Information
Total Shipping Charges,Total Shipping Charges
Items to Invoice,Items to Invoice
Discount Amount,Discount Amount
Row Total,Row Total
Order Total,Order Total
Invoice History,Invoice History
Invoice Totals,Invoice Totals
Subtotal,Subtotal
Shipping & Handling,Shipping & Handling
Discount Amount,Discount Amount
Invoice Comments,Invoice Comments
Invoice save successfully,Invoice save successfully
New Shipment,New Shipment
Items to Ship,Items to Ship
Shipment Total,Shipment Total
Shipment Comments,Shipment Comments
Comment Text,Comment Text
Submit Shipment,Submit Shipment
Shipment save successfully,Shipment save successfully
Total Sales,Total Sales
Paid Amount,Paid Amount
Due Amount,Due Amount
Review,Review
Commissions,Commissions
Order,Order
Special Price,Special Price
Products,Products
No Products Added Yet,No Products Added Yet
Order Record,Order Record
Order #,Order #
Ship To,Ship To
Status,Status
View Order,View Order
No Orders Yet,No Orders Yet
SKU,SKU
Price,Price
Submit,Submit
Shipment can not save,Shipment can not save
Invoice can not save,Invoice can not save
Not Able to send Email,Not Able to send Email
Store Name : ,Store Name : 
Contact Number : ,Contact Number : 
Address : ,Address : 
Store Email : ,Store Email : 
Ship to :,Ship to :
Order Date :,Order Date :
Seller Order,Seller Order
Create Attribute for Configurable Products :,Create Attribute for Configurable Products :
Attribute Code :,Attribute Code :
Submit,Submit
Add Option,Add Option
Value,Value
Manage Options (Values of Your Attribute),Manage Options (Values of Your Attribute)
No,No
Yes,Yes
Values Required : ,Values Required : 
Attribute Label : ,Attribute Label : 
Here are the products you are about to create.,Here are the products you are about to create.
New Product Review,New Product Review
Step 4: Summary,Step 4: Summary
Skip quantity at this time,Skip quantity at this time
Quantity,Quantity
Skip price at this time,Skip price at this time
Price,Price
Skip image uploading at this time,Skip image uploading at this time
Images,Images
new products will be created. Use this step to customize images and price for your new products.,new products will be created. Use this step to customize images and price for your new products.
Based on your selections,Based on your selections
"Step 3: Bulk Images, Price and Quantity","Step 3: Bulk Images, Price and Quantity"
