"A total of %1 record(s) have been deleted","Se ha eliminado un total de% 1 registro (s)"
"An error occurred while deleting record(s)","Se produjo un error al eliminar el registro (s)"
"Save and Continue Edit","Guardar y Continuar"
"Seller","Vendedor"
"Image","Image"
"ID","ID"
"Title","Título"
"Subject","Tema"
"Sort Order","Orden de clasificación"
"Description","Descripción"
"Save Status","Guardar estado"
"The Status has been deleted.","El estado ha sido eliminado."
"The Status has been saved.","El estado ha sido guardado."
"This Status no longer exists.","Este estado ya no existe."
"Something went wrong while saving the Status","Algo salió mal al guardar el estado"
"Store email id","Almacenar ID de correo electrónico"
"Store Contact Number","Número de contacto de tienda"
"Store Address","Dirección de tienda:"
"Store Description","Descripción de tienda"
"Store Shipping Policy","Política de envío de la tienda"
"Store Return Policy","Política de devolución de la tienda"
"Store Shipping Policy","Política de envío de la tienda"
"Store Return Policy","Política de devolución de la tienda"
"Store Name","Nombre de la tienda"
"Store Banner","Banner de la tienda"
"Store Logo","Logo de la tienda"
"Store Meta Description","Tienda Meta Descripción"
"Store Meta Keywords","Tienda Meta Palabras clave"
"Store Return Policy","Política de devolución de la tienda"
"Store Shipping Policy","Política de envío de la tienda"
"Store Description","Descripción de tienda"
"Store Zipcode","Tienda de código postal"
"Store City","Store City"
"Store State/Province","Tienda Estado / Provincia"
"Store Country","Tienda País"
"Store Address","Dirección de tienda:"
"Store Bank Details","Detalles del banco de la tienda"
"Store TIN Number","Número TIN de la tienda"
"Store Email Address","Dirección de correo electrónico de tienda"
"Store Phone Number","Numero telefónico del Restaurant: __________________________________________"
"Store Review","4. revisión de la app store"
"Store Review Title","Título de revisión de la tienda"
"Store Review Description","Descripción de revisión de tienda"
"Store Rating","Calificación de tienda"
"Store Review Submit","Revisión de tienda"
"Seller Commission","Comisión del vendedor"
"Order ID","Orden ID"
" Date","Día"
"Order Commission","Orden de la Comisión"
"Commission Status","Estado de la Comisión"
"No Commission Added Yet","Sin comisión agregada todavía"
"Commission Record","Registro de la Comisión"
"Payment Record","Registro de pago"
"No Payment Added Yet","Sin pago agregado aún"
"Payment Transaction Number","Número de transacción de pago"
"Payment Amount","Monto del pago"
"Payment Mode","Modo de pago"
"Seller Payment","Pago del vendedor"
"Admin Commissions","Comisiones administrativas"
"Submit Store Review","Enviar revisión de la tienda"
"Thank you for your valuable review","Gracias por tu valiosa reseña"
"SOLD BY : ","Vende "
"Become a Seller","Ser un vendedor"
"Store Url","Dirección URL de la tienda"
"Become Seller","Convertirse en vendedor"
"Enter Unique Store URL","Ingrese la URL de tienda única"
"Waiting for admin approval","Esperando la aprobación del administrador"
"You removed your account previously, so to again add as seller please select yes","Eliminó su cuenta anteriormente, por lo que para volver a agregar como vendedor, seleccione sí"
"'You really want to remove as seller ?","¿De verdad quieres eliminar como vendedor?"
"Remove as seller","Eliminar como vendedor"
"Successfully remove as seller","Eliminar con éxito como vendedor"
"Store updated successfully","Tienda actualizada con éxito"
"My Store","Mi tienda"
"View Profile","Ver perfil"
"Filter","Filtro"
"Become Seller","Convertirse en vendedor"
"My Store","Mi tienda"
"Products","Productos"
"Attributes","Atributos"
"Vendor Orders","Pedidos del proveedor"
"Admin Commissions","Comisiones administrativas"
"Payments","Pagos"
"Remove as Seller","Eliminar como Vendedor"
"Seller Menu","Menú del vendedor"
"Something went wrong while saving the review","Algo salió mal al guardar la revisión"
"Product Quantity","Cantidad del Producto"
"Something went wrong while saving the details","Algo salió mal al guardar los detalles"
"Regular Price","Precio regular"
"Product Name","Nombre del producto"
"Product SKU","SKU del Producto"
"Ordered","Ordenado"
"Canceled","Cancelado"
"Shipped","Enviado"
"Refunded","Reembolsado"
"Payment Method","Forma de Pago"
"Items Ordered","Artículos pedidos"
"Invoices","Facturas"
"Order Shipments","Envío de pedidos"
"Qty","Cant."
"Subtotal","Subtotal"
"Shipping & Handling","Embarques y gastos administrativos"
"Tax","Ta"
"Grand Total","Gran total"
"Order Information","Información del pedido"
"Shipping Address","Dirección de Envío"
"Shipping Method","Forma de envío"
"Billing Address","Dirección de Envio"
"Print","Imprimir"
"Qty Invoiced","Cantidad facturada"
"Qty Shipped","Cantidad enviada"
"Invoice","Factura"
"Ship","Nave"
"New Invoice","New Invoice "
"Order & Account Information","Información de orden y cuenta"
"Order #","Pedido #"
"Order Date","Fecha de orden"
"Order Status","Estado de la orden"
"Account Information","Información contable"
"Customer Name","Nombre del cliente"
"Email","Email"
"Address Information","Datos del Domicilio"
"Billing Address","Dirección de Envio"
"Shipping Address","Dirección de Envío"
"Payment & Shipping Method","Método de pago y envío"
"Payment Information","Información del pago"
"The order was placed using","El orden fue colocado usando"
"Shipping Information","Información de envío"
"Total Shipping Charges","Total de gastos de envío"
"Items to Invoice","Artículos a Factura"
"Discount Amount","Monto de descuento"
"Row Total","Total de la fila"
"Order Total","Orden Total"
"Invoice History","Historial de la factura"
"Invoice Totals","Totales de la factura"
"Subtotal","Subtotal"
"Shipping & Handling","Embarques y gastos administrativos"
"Discount Amount","Monto de descuento"
"Invoice Comments","Comentarios de la factura"
"Invoice save successfully","La factura se guardó con éxito"
"New Shipment","Nuevo envío"
"Items to Ship","Artículos para enviar"
"Shipment Total","Total del envío"
"Shipment Comments","Comentarios de envío"
"Comment Text","Texto de Comentario"
"Submit Shipment","Enviar envío"
"Shipment save successfully","Envío guardado con éxito"
"Total Sales","Ventas totales"
"Paid Amount","Monto pagado"
"Due Amount","Venta"
"Review","Repa"
"Commissions","Comisiones"
"Order","Orden"
"Special Price","Precio especial"
"Products","Productos"
"No Products Added Yet","Sin productos agregados aún"
"Order Record","Registro de orden"
"Order #","Pedido #"
"Ship To","Enviado a"
"Status","Estado"
"View Order","Consultar pedido"
"No Orders Yet","Aún no hay pedidos"
"SKU","SKU"
"Price","Price"
"Submit","Enviar"
"Shipment can not save","El envío no puede guardarse"
"Invoice can not save","La factura no puede guardar"
"Not Able to send Email","No se puede enviar correo electrónico"
"Store Name : ","Nombre de la Tienda "
"Contact Number : ","Número de Contacto "
"Address : ","Dirección: "
"Store Email : ","Correo electrónico de la tienda: "
"Ship to :","Enviado a"
"Order Date :","Fecha de orden"
"Seller Order","Orden del vendedor"
"Create Attribute for Configurable Products :","Crear atributo para productos configurables:"
"Attribute Code :","Código de atributo:"
"Submit","Enviar"
"Add Option","Añadir opción"
"Value","Valor"
"Manage Options (Values of Your Attribute)","Administrar opciones (valores de su atributo)"
"No","No"
"Yes","S"
"Values Required : ","Valores requeridos: "
"Attribute Label : ","Etiqueta de atributo: "
"Here are the products you are about to create.","Aquí están los productos que está por crear."
"New Product Review","Nueva revisión del producto"
"Step 4: Summary","Paso 4: Resumen"
"Skip quantity at this time","Saltar cantidad en este momento"
"Quantity","Cantidad"
"Skip price at this time","Omitir precio en este momento"
"Price","Price"
"Skip image uploading at this time","Omita la carga de imágenes en este momento"
"Images","Imágenes"
"new products will be created. Use this step to customize images and price for your new products.","Se crearán nuevos productos. Utilice este paso para personalizar las imágenes y el precio de sus nuevos productos."
"Based on your selections","De acuerdo con tus selecciones"
"Step 3: Bulk Images, Price and Quantity","Paso 3: imágenes a granel, precio y cantidad"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Seleccione valores de cada atributo para incluir en este producto. Cada combinación única de valores crea un SKU de producto único."
"Step 2: Attribute Values","Paso 2: valores de atributo"
"Comparable","Comparable"
"Searchable","Buscable"
"Scope","Alcance"
"Visible","Visible"
"System","System"
"Required","Required"
"Attribute Label","Etiqueta de atributo"
"Attribute Code","Código de atributo"
"Selected Attributes:","Atributos seleccionados:"
"Step 1: Select Attributes","Paso 1: Seleccionar atributos"
"Next","Next"
"Back","Atrás"
"Cancel","Cancel"
"Summary","Resumen"
"Select Attributes  ","Seleccionar atributos  "
"Attribute Values","Valores de atributo"
"Click here to add images.","Haga clic aquí para agregar imágenes."
"Browse Files...","Búsqueda de archivos..."
"Thumbnail","Miniatura"
"Swatch","Muestra de tela"
"Small","Small"
"Base","Base"
"Remove","Borrar"
"Product Image","Imagen del producto"
"Websites","Sitios Web"
"Main Website","Sitio web principal"
"Product in Websites","Producto en sitios web"
"Meta Description","Meta Descripción"
"Meta Keywords","Meta Palabras clave"
"Meta Title","Meta título"
"Search Engine Optimization","SEO - Optimización para buscadores"
"Remove","Borrar"
"Actions","Accio"
"Weight","Peso"
"Current Variations","Variaciones actuales"
"Create Configurations","Crear Configuraciones"
"Edit Configurations","Editar configuraciones"
"Configurable products allow customers to choose options (Ex: shirt color). You need to create a simple product for each configuration (Ex: a product for each color)","Los productos configurables les permiten a los clientes elegir opciones (por ejemplo, el color de la camisa). Necesita crear un producto simple para cada configuración (por ejemplo, un producto para cada color)"
"Configuration","Configuración"
"Short Description","Descripción breve"
"Content","Contenido"
"Country of Manufacture","país de fabricación"
"Not Visible Individually","No visible individualmente"
"Catalog","Catalogar"
"Search","Buscar"
"Catalog, Search","Catálogo, Búsqueda"
"Visibility","Visibilidad"
"Set Product as New From :","Establecer producto como nuevo desde:"
"Taxable Goods","Bienes gravables"
"None","Nada"
"Tax Class","Clase de impuestos"
"Out of Stock","Sin stock"
"In Stock","En stock"
"Stock Status","Estado de inventario"
"This item has no weight","Este artículo no tiene peso"
"This item has weight","Este artículo tiene peso"
"Categories","Categorías"
"Enabled","Enabled"
"Disabled","Deshabilita"
"Enable Product","Habilitar producto"
"Enter Product Details","Ingrese los detalles del producto"
"Add Option","Añadir opción"
"Manage Options (Values of Your Attribute)","Administrar opciones (valores de su atributo)"
"Values Required : ","Valores requeridos: "
"Attribute Label : ","Etiqueta de atributo: "
"Attribute Code :","Código de atributo:"
"Edit Attribute for Configurable Products","Editar atributo para productos configurables"
"Store URL","Dirección URL de la tienda"
"Select Attribute Set","Seleccionar conjunto de atributos"
"Select Product Type","Seleccione el Tipo de Producto"
"Product Option","Opción del producto"
"Contact To Seller","Contactar con el Vendedor"
"Submit Enquire","Enviar Perguntar"
"Enquire","Perguntar"
"Submit Your Query","Envíe su consulta"
"Enquire submitted successfully to the seller","Inquire enviado con éxito al vendedor"
"Customer Enquire","Solicitud de cliente"
"Customer Name","Nombre del cliente"
"Customer Email","Correo electrónico del cliente"
"Seller Products","Productos del vendedor"
"Add Product","Añadir producto"
"No Product Found","No se Encontró el Producto"
"Customer Enquiries","Consultas de clientes"
"Customer Enquiry","Consulta del cliente"
"No Customer Enquiries Added Yet","No hay consultas de clientes agregadas todavía"
"Store Info","Informacion almacenamiento"
"View Store","Ver Tienda"
"Store Tax Identification Number","Número de identificación fiscal de la tienda"
"Recomended Dimensions are 200 X 200","Las dimensiones recomendadas son 200 X 200"
"Recomended Dimensions are 900 X 300(W X H)","Las dimensiones recomendadas son 900 X 300 (WXH)"
"Submit","Enviar"
"No file selected","Ningún archivo seleccionado"
"Commissions will update after order completion.","Las comisiones se actualizarán después de la finalización de la orden."
"Seller Review","Revisión del vendedor"
"No Reviews Added Yet","Sin comentarios agregados todavía"
"Attribute Set","Conjunto de atributos"
"Create New Attribute Set","Crear nuevo conjunto de atributos"
"Attribute Set Name","Nombre del conjunto de atributos"
"New Attribute Set","Nuevo conjunto de atributos"
"Create Attribute Set for Products :","Crear conjunto de atributos para productos:"
"Attribute Set Name:","Nombre del conjunto de atributos:"
"Based On :","Basado en"
"Configurable Attributes","Atributos configurables"
"Create New Configurable Attributes","Crear nuevos atributos configurables"
"No Attributes Found","No se encontraron atributos"
"New Attribute","Nuevo atributo"
"Create Attribute for Configurable Products : ","Crear atributo para productos configurables: "
"Attribute Code","Código de atributo"
"Attribute Set :","Conjunto de atributos:"
"Delete","Borra"
"You really want to remove as seller ?","¿Realmente quieres eliminar como vendedor?"
"From","De"
"To","A"
"Order","Orden"
"Date","Día"
"1 Item","ARTICULO ​​15, 16"
"per page","por página"
"Show","Ver"
