"A total of %1 record(s) have been deleted","Un total de% 1 enregistrement (s) ont été supprimés"
"An error occurred while deleting record(s)","Une erreur s'est produite lors de la suppression des enregistrements"
"Save and Continue Edit","Enregistrer et continuer Modifier"
"Seller","Vendeur"
"Image","Image"
"ID","ID"
"Title","Titre"
"Subject","Objet"
"Sort Order","Ordre de Tri"
"Description","Description"
"Save Status","Enregistrer le statut"
"The Status has been deleted.","Le statut a été supprimé."
"The Status has been saved.","Le statut a été enregistré."
"This Status no longer exists.","Ce statut n'existe plus."
"Something went wrong while saving the Status","Une erreur s'est produite lors de l'enregistrement du statut"
"Store email id","Enregistrer l'adresse e-mail"
"Store Contact Number","Numéro de contact du magasin"
"Store Address","Adresse du magasin"
"Store Description","Description du magasin"
"Store Shipping Policy","Politique d'expédition du magasin"
"Store Return Policy","Politique de retour du magasin"
"Store Shipping Policy","Politique d'expédition du magasin"
"Store Return Policy","Politique de retour du magasin"
"Store Name","Nom du boutique"
"Store Banner","Bannière de magasin"
"Store Logo","Logo du magasin"
"Store Meta Description","Store Meta Description"
"Store Meta Keywords","Enregistrer les mots clés Meta"
"Store Return Policy","Politique de retour du magasin"
"Store Shipping Policy","Politique d'expédition du magasin"
"Store Description","Description du magasin"
"Store Zipcode","Store Code postal"
"Store City","Ville du magasin"
"Store State/Province","État du magasin / province"
"Store Country","Pays du magasin"
"Store Address","Adresse du magasin"
"Store Bank Details","Détails de la banque du magasin"
"Store TIN Number","Numéro de TIN du magasin"
"Store Email Address","Enregistrer l'adresse e-mail"
"Store Phone Number","Numéro de téléphone du magasin"
"Store Review","4. critique magasin"
"Store Review Title","Titre de l'avis de magasin"
"Store Review Description","Description de l'avis de magasin"
"Store Rating","Évaluation du magasin"
"Store Review Submit","Revue de magasin"
"Seller Commission","Commission des vendeurs"
"Order ID","ID de commande"
" Date","Rendez-vous amoureux"
"Order Commission","Commission de commande"
"Commission Status","Statut de la Commission"
"No Commission Added Yet","Aucune commission ajoutée"
"Commission Record","Dossier de la Commission"
"Payment Record","Enregistrement de paiement"
"No Payment Added Yet","Aucun paiement ajouté"
"Payment Transaction Number","Numéro de transaction de paiement"
"Payment Amount","Montant du paiement"
"Payment Mode","4. Mode de paiement "
"Seller Payment","Paiement du vendeur"
"Admin Commissions","Commissions d'administration"
"Submit Store Review","Envoyer un avis sur le magasin"
"Thank you for your valuable review","Merci pour votre avis précieux"
"SOLD BY : ","Produit par "
"Become a Seller","Devenir un vendeur"
"Store Url","URL enregistrée"
"Become Seller","Devenir vendeur"
"Enter Unique Store URL","Entrez l'URL du magasin unique"
"Waiting for admin approval","En attente de l'approbation de l'administrateur"
"You removed your account previously, so to again add as seller please select yes","Vous avez supprimé votre compte précédemment, donc pour ajouter à nouveau en tant que vendeur, sélectionnez oui"
"'You really want to remove as seller ?","«Vous voulez vraiment supprimer en tant que vendeur?"
"Remove as seller","Supprimer en tant que vendeur"
"Successfully remove as seller","Supprimer avec succès en tant que vendeur"
"Store updated successfully","Magasin mis à jour avec succès"
"My Store","Mon magasin"
"View Profile","Voir le profil"
"Filter","Filtre"
"Become Seller","Devenir vendeur"
"My Store","Mon magasin"
"Products","Produits"
"Attributes","Attributs"
"Vendor Orders","Commandes du fournisseur"
"Admin Commissions","Commissions d'administration"
"Payments","Paiements"
"Remove as Seller","Retirer en tant que vendeur"
"Seller Menu","Menu du vendeur"
"Something went wrong while saving the review","Une erreur s'est produite lors de l'enregistrement de l'avis"
"Product Quantity","La quantité de produit"
"Something went wrong while saving the details","Une erreur s'est produite lors de l'enregistrement des détails"
"Regular Price","Prix ​​habituel"
"Product Name","Produit"
"Product SKU","SKU produit"
"Ordered","Commandé"
"Canceled","Annulé"
"Shipped","Envoyé"
"Refunded","Remboursé "
"Payment Method","Mode de paiement"
"Items Ordered","Articles commandés"
"Invoices","Factures"
"Order Shipments","Commander des envois"
"Qty","Qté"
"Subtotal","Sous-Total"
"Shipping & Handling","Livraison et manutention (% 1)"
"Tax","Taxe"
"Grand Total","Total"
"Order Information","Informations sur la commande"
"Shipping Address","Adresse de livraison "
"Shipping Method","Moyen de Livraison"
"Billing Address","Adresse de Facturation"
"Print","Imprimer"
"Qty Invoiced","Quantité facturée"
"Qty Shipped","Qté Expédié"
"Invoice","Facture"
"Ship","Vaisseau"
"New Invoice","Nouvelle facture"
"Order & Account Information","Commande et informations sur le compte"
"Order #","Numéro Commande"
"Order Date","Date de la commande"
"Order Status","État de la Commande"
"Account Information","Informations sur le compte"
"Customer Name","Nom du Client"
"Email","Email"
"Address Information","Coordonnées"
"Billing Address","Adresse de Facturation"
"Shipping Address","Adresse de livraison "
"Payment & Shipping Method","Méthode de paiement et d'expédition"
"Payment Information","Informations de paiement"
"The order was placed using","La commande a été passée en utilisant"
"Shipping Information","Information Livraison"
"Total Shipping Charges","Frais d'expédition totaux"
"Items to Invoice","Articles à facturer"
"Discount Amount","Montant du rabais"
"Row Total","Total de lignes"
"Order Total","Commande totale"
"Invoice History","Historique de la factur"
"Invoice Totals","Totaux de factures"
"Subtotal","Sous-Total"
"Shipping & Handling","Livraison et manutention (% 1)"
"Discount Amount","Montant du rabais"
"Invoice Comments","Commentaires de facture"
"Invoice save successfully","Facture enregistrée avec succès"
"New Shipment","Nouvelle expédition"
"Items to Ship","Articles à expédier"
"Shipment Total","Total des envois"
"Shipment Comments","Commentaires d'expédition"
"Comment Text","Commentaire texte"
"Submit Shipment","Envoyer l'envoi"
"Shipment save successfully","L'expédition est sauvegardée avec succès"
"Total Sales","Total des ventes"
"Paid Amount","Montant payé"
"Due Amount","Montant dû"
"Review","Avis"
"Commissions","Commissions"
"Order","Tri"
"Special Price","Prix ​​spécial"
"Products","Produits"
"No Products Added Yet","Aucun produit ajouté"
"Order Record","Enregistrement de la commande"
"Order #","Numéro Commande"
"Ship To","Envoyer à :"
"Status","Statut"
"View Order","Voir la commande"
"No Orders Yet","pas encore d'ordres :("
"SKU","SKU"
"Price","Tar"
"Submit","Valider"
"Shipment can not save","L'expédition ne peut pas enregistrer"
