"A total of %1 record(s) have been deleted","В общей сложности% 1 записей (ов) были удалены"
"An error occurred while deleting record(s)","Произошла ошибка при удалении записи (ов)"
"Save and Continue Edit","Сохранить и продолжить редактирование"
"Seller","продавец"
"Image","Образ"
"ID","ИД"
"Title","Title"
"Subject","Тема"
"Sort Order","Порядок сортировки"
"Description","Описание"
"Save Status","Сохранить статус"
"The Status has been deleted.","Статус удален."
"The Status has been saved.","Статус сохранен."
"This Status no longer exists.","Этот статус больше не существует."
"Something went wrong while saving the Status","При сохранении статуса что-то пошло не так"
"Store email id","Введите идентификатор электронной почты"
"Store Contact Number","Контактный номер магазина"
"Store Address","Адрес магазина"
"Store Description","Описание рекламного агентства"
"Store Shipping Policy","Политика доставки в магазине"
"Store Return Policy","Возврат товара в магазине"
"Store Shipping Policy","Политика доставки в магазине"
"Store Return Policy","Возврат товара в магазине"
"Store Name","Название магазина"
"Store Banner","Хранить баннер"
"Store Logo","Логотип рекламного агентства"
"Store Meta Description","Meta Description агентства"
"Store Meta Keywords","Хранить мета-ключевые слова"
"Store Return Policy","Возврат товара в магазине"
"Store Shipping Policy","Политика доставки в магазине"
"Store Description","Описание рекламного агентства"
"Store Zipcode","Сохранить Zipcode"
"Store City","Магазин Сити"
"Store State/Province","Состояние магазина / Область"
"Store Country","Сохранить страну"
"Store Address","Адрес магазина"
"Store Bank Details","Хранить данные банка"
"Store TIN Number","Номер магазина TIN"
"Store Email Address","Адрес электронной почты магазина"
"Store Phone Number","Сохранить номер телефона"
"Store Review","Обзор магазина"
"Store Review Title","Заголовок отзыва магазина"
"Store Review Description","Обзор магазина"
"Store Rating","Рейтинг магазина"
"Store Review Submit","Обзор магазина Отправить"
"Seller Commission","Комиссия продавца"
"Order ID","№ Заказа"
" Date","Дата"
"Order Commission","Комиссия по заказу"
"Commission Status","Статус комиссии"
"No Commission Added Yet","Нет комиссии, добавленной еще"
"Commission Record","Отчет о Комиссии"
"Payment Record","Платежная запись"
"No Payment Added Yet","Еще не добавлен платеж"
"Payment Transaction Number","Номер транзакции"
"Payment Amount","Сумма платежа"
"Payment Mode","Режим оплаты"
"Seller Payment","Оплата продавца"
"Admin Commissions","Административные комиссии"
"Submit Store Review","Отправить обзор магазина"
"Thank you for your valuable review","Благодарим вас за ценный обзор"
"SOLD BY : ","ПРОДАН : "
"Become a Seller","Стать продавцом"
"Store Url","Адрес магазина"
"Become Seller","Станьте продавцом"
"Enter Unique Store URL","Введите уникальный URL-адрес магазина"
"Waiting for admin approval","Ожидание одобрения администратора"
"You removed your account previously, so to again add as seller please select yes","Вы удалили свою учетную запись ранее, поэтому, чтобы снова добавить в качестве продавца, выберите «Да»."
"'You really want to remove as seller ?","«Вы действительно хотите удалить продавца?"
"Remove as seller","Удалить как продавец"
"Successfully remove as seller","Успешно удалить как продавца"
"Store updated successfully","Магазин успешно обновлен"
"My Store","Мой магазин"
"View Profile","Профиль"
"Filter","Фильтр"
"Become Seller","Станьте продавцом"
"My Store","Мой магазин"
"Products","Товары"
"Attributes","Атрибуты"
"Vendor Orders","Заказы поставщиков"
"Admin Commissions","Административные комиссии"
"Payments","Платежи"
"Remove as Seller","Удалить как продавец"
"Seller Menu","Меню продавца"
"Something went wrong while saving the review","Что-то пошло не так,"
"Product Quantity","Количество продукта"
"Something went wrong while saving the details","Что-то пошло не так,"
"Regular Price","Обычная цена"
"Product Name","Название продукция а"
"Product SKU","Продукт SKU"
"Ordered","В обработке"
"Canceled","Отменено"
"Shipped","Отправлено"
"Refunded","Возвращено"
"Payment Method","Способ оплаты"
"Items Ordered","Товары, заказанные"
"Invoices","Счета"
"Order Shipments","Заказ заказов"
"Qty","Количество"
"Subtotal","Подитог(Subtotal)"
"Shipping & Handling","Доставка и обработка:"
"Tax","Налог"
"Grand Total","ИТОГО"
"Order Information","Описание заказа"
"Shipping Address","Адрес Доставки "
"Shipping Method","способ доставки"
"Billing Address","Адрес оплаты "
"Print","Печать"
"Qty Invoiced","Qty Invoiced"
"Qty Shipped","Qty отправлено"
"Invoice","Счет"
"Ship","База"
"New Invoice","Новый счет-фактура"
"Order & Account Information","Информация о заказе и счете"
"Order #","Заказ №"
"Order Date","Дата заказа"
"Order Status","Статус заказа"
"Account Information","Информация об аккаунте"
"Customer Name","Наименование клиента"
"Email","Email"
"Address Information","Информация об адресе"
"Billing Address","Адрес оплаты "
"Shipping Address","Адрес Доставки "
"Payment & Shipping Method","Способ оплаты и доставки"
"Payment Information","информация об оплате"
"The order was placed using","Заказ был размещен с использованием"
"Shipping Information","Информация о доставке"
"Total Shipping Charges","Общая стоимость доставки"
"Items to Invoice","Элементы для выставления счета"
"Discount Amount","Сумма скидки"
"Row Total","Всего строк"
"Order Total","Итого по заказу"
"Invoice History","История счетов"
"Invoice Totals","Итоговые счета"
"Subtotal","Подитог(Subtotal)"
"Shipping & Handling","Доставка и обработка:"
"Discount Amount","Сумма скидки"
"Invoice Comments","Комментарии к счетам"
"Invoice save successfully","Сохранение счета успешно"
"New Shipment","Новая отгрузка"
"Items to Ship","Товары для отправки"
"Shipment Total","Отгрузка Всего"
"Shipment Comments","Комментарии к отправке"
"Comment Text","Комментарий"
"Submit Shipment","Отправить доставку"
"Shipment save successfully","Отгрузка успешно сохраняется"
"Total Sales","Тотальная распродажа"
"Paid Amount","Выплаченная сумма"
"Due Amount","Надлежащей суммы"
"Review","Обзор"
"Commissions","Вознаграждения"
"Order","Заказ"
"Special Price","Специальная цена"
"Products","Товары"
"No Products Added Yet","Нет добавленных продуктов"
"Order Record","Запись заказа"
"Order #","Заказ №"
"Ship To","Доставлено кому"
"Status","Статус"
"View Order","Просмотреть заказ"
"No Orders Yet","Пока нет заказов"
"SKU","Код"
"Price","Цена"
"Submit","Принять"
"Shipment can not save","Отправка не может сэкономить"
"Invoice can not save","Счет не может сэкономить"
"Not Able to send Email","Не удалось отправить электронную почту"
"Store Name : ","Название магазина "
"Contact Number : ","Контактный номер "
"Address : ","Адрес: "
"Store Email : ","магазин E-mail "
"Ship to :","АДРЕС ПОЛУЧАТЕЛЯ:"
"Order Date :","75 Дата заказа"
"Seller Order","Заказ продавца"
"Create Attribute for Configurable Products :","Создать атрибут для настраиваемых продуктов:"
"Attribute Code :","Параметры кода"
"Submit","Принять"
"Add Option","Добавить опцию"
"Value","Value"
"Manage Options (Values of Your Attribute)","Управление параметрами (значения вашего атрибута)"
"No","Нет"
"Yes","Да"
"Values Required : ","Необходимые значения: "
"Attribute Label : ","Метка атрибута: "
"Here are the products you are about to create.","Вот продукты, которые вы собираетесь создать."
"New Product Review","Новый обзор продукта"
"Step 4: Summary","Шаг 4: Сводка"
"Skip quantity at this time","Пропустить количество в это время"
"Quantity","Количество"
"Skip price at this time","Пропустить цену в это время"
"Price","Цена"
"Skip image uploading at this time","Пропустить загрузку изображения в это время"
"Images","Фотографии"
"new products will be created. Use this step to customize images and price for your new products.","будут созданы новые продукты. Используйте этот шаг для настройки изображений и цены для новых продуктов."
"Based on your selections","Основываясь на ваших выборах"
"Step 3: Bulk Images, Price and Quantity","Шаг 3: Массовые изображения, цена и количество"
"Select values from each attribute to include in this product. Each unique combination of values creates a unique product SKU.","Выберите значения из каждого атрибута для включения в этот продукт. Каждая уникальная комбинация значений создает уникальный продукт SKU."
"Step 2: Attribute Values","Шаг 2: Значения атрибута"
"Comparable","сопоставимый"
"Searchable","Доступно для поиска"
"Scope","Сфера"
"Visible","Видимый"
"System","Система"
"Required","Необходимо"
"Attribute Label","Метка атрибута"
"Attribute Code","Параметры кода"
"Selected Attributes:","Выбранные атрибуты:"
"Step 1: Select Attributes","Шаг 1: выберите атрибуты"
"Next","След"
"Back","Назад"
"Cancel","Отмена"
"Summary","Итог"
"Select Attributes  ","Выберите атрибуты  "
"Attribute Values","Значения атрибутов"
"Click here to add images.","Нажмите здесь, чтобы добавить изображения."
"Browse Files...","Просмотр файлов ..."
"Thumbnail","Превью"
