"A total of %1 record(s) have been deleted","ลบเร็กคอร์ด% 1 รายการแล้ว"
"An error occurred while deleting record(s)","เกิดข้อผิดพลาดขณะลบเร็กคอร์ด"
"Save and Continue Edit","บันทึกและแก้ไขต่อ"
"Seller","ร้านค้า"
"Image","ภาพ"
"ID","ID"
"Title","หัวข้อ"
"Subject","เรื่อง"
"Sort Order","เรียงลำดับ"
"Description","ลักษณะ"
"Save Status","บันทึกสถานะ"
"The Status has been deleted.","สถานะถูกลบแล้ว"
"The Status has been saved.","สถานะได้รับการบันทึกแล้ว"
"This Status no longer exists.","สถานะนี้ไม่มีอยู่แล้ว"
"Something went wrong while saving the Status","เกิดข้อผิดพลาดขณะบันทึกสถานะ"
"Store email id","เก็บรหัสอีเมล"
"Store Contact Number","หมายเลขติดต่อร้านค้า"
"Store Address","เก็บที่อยู่"
"Store Description","คำอธิบาย  เก็บ"
"Store Shipping Policy","จัดส่งนโยบายการจัดส่ง"
"Store Return Policy","นโยบายการคืนสินค้าในคลังสินค้า"
"Store Shipping Policy","จัดส่งนโยบายการจัดส่ง"
"Store Return Policy","นโยบายการคืนสินค้าในคลังสินค้า"
"Store Name","ชื่อร้าน"
"Store Banner","แบนเนอร์ร้านค้า"
"Store Logo","โลโก้ร้านค้า"
"Store Meta Description","รายละเอียด Meta เก็บ"
"Store Meta Keywords","เก็บคำหลัก Meta"
"Store Return Policy","นโยบายการคืนสินค้าในคลังสินค้า"
"Store Shipping Policy","จัดส่งนโยบายการจัดส่ง"
"Store Description","คำอธิบาย เก็บ"
"Store Zipcode","เก็บรหัสไปรษณีย์ไว้"
"Store City","เก็บ  เมือง"
"Store State/Province","เก็บ  รัฐ / จังหวัด"
"Store Country","เก็บประเทศ"
"Store Address","เก็บที่อยู่"
"Store Bank Details","เก็บรายละเอียดธนาคาร"
"Store TIN Number","เก็บหมายเลข TIN"
"Store Email Address","ที่อยู่อีเมล เก็บ"
"Store Phone Number","เก็บหมายเลขโทรศัพท์"
"Store Review","รีวิวจากร้านค้า"
"Store Review Title","ชื่อรีวิวจากร้านค้า"
"Store Review Description","รายละเอียดคำอธิบายในร้านค้า"
"Store Rating","คะแนนร้านค้า"
"Store Review Submit","ตรวจทานร้านค้าส่ง"
"Seller Commission","คณะกรรมาธิการ ผู้ขาย"
"Order ID","รหัสคำสั่งซื้อ"
" Date","วันที่"
"Order Commission"," ใบสั่ง คณะกรรมาธิการ"
"Commission Status","สถานะของคณะกรรมการ"
"No Commission Added Yet","ยังไม่ได้เพิ่มค่านายหน้า"
"Commission Record","บันทึก  คณะกรรมาธิการ"
"Payment Record","บันทึกการชำระเงิน"
"No Payment Added Yet","ยังไม่ได้ชำระเงิน"
"Payment Transaction Number","หมายเลขธุรกรรมการชำระเงิน"
"Payment Amount","จำนวนเงินที่ชำระ"
"Payment Mode","โหมดการชำระเงิน"
"Seller Payment","การชำระเงินของผู้ขาย"
"Admin Commissions","ผู้ดูแลระบบ  คณะกรรมาธิการ"
"Submit Store Review","ส่งรีวิวจากร้านค้า"
"Thank you for your valuable review","ขอขอบคุณสำหรับความคิดเห็นที่มีค่าของคุณ"
"SOLD BY : ","ขายโดย : "
"Become a Seller","มาเป็นผู้ขาย"
"Store Url","URL ร้านค้า"
"Become Seller","กลายเป็นผู้ขาย"
"Enter Unique Store URL","ป้อน URL ร้านค้าที่ไม่ซ้ำ"
"Waiting for admin approval","กำลังรอการอนุมัติจากผู้ดูแลระบบ"
"You removed your account previously, so to again add as seller please select yes","คุณได้นำบัญชีของคุณออกก่อนหน้านี้แล้วเพื่อที่จะเพิ่มเป็นผู้ขายอีกครั้งโปรดเลือกใช่"
