"A total of %1 record(s) have been deleted","Tổng số% 1 bản ghi đã bị xóa"
"An error occurred while deleting record(s)","Đã xảy ra lỗi khi xóa (các) bản ghi"
"Save and Continue Edit","Lưu và Tiếp tục Chỉnh sửa"
"Seller","BÊN BÁN:"
"Image","Ảnh"
"ID","ID"
"Title","Quyền"
"Subject","Chủ đề"
"Sort Order","Thứ tự sắp xếp"
"Description","Mô tả"
"Save Status","Lưu Trạng thái"
"The Status has been deleted.","Trạng thái đã bị xóa."
"The Status has been saved.","Trạng thái đã được lưu."
"This Status no longer exists.","Trạng thái này không còn tồn tại."
"Something went wrong while saving the Status","Đã xảy ra lỗi khi lưu Trạng thái"
"Store email id","Lưu id email"
"Store Contact Number","Số liên lạc của cửa hàng"
"Store Address","Địa chỉ lưu trữ"
"Store Description","Mô tả cửa hàng"
"Store Shipping Policy","Lưu trữ Chính sách Vận chuyển"
"Store Return Policy","Chính sách hoàn trả của cửa hàng"
"Store Shipping Policy","Lưu trữ Chính sách Vận chuyển"
"Store Return Policy","Chính sách hoàn trả của cửa hàng"
"Store Name","Tên cửa hàng *"
"Store Banner","Banner Store"
"Store Logo","Logo cửa hàng"
"Store Meta Description","Store Meta Description"
"Store Meta Keywords","Lưu trữ từ khoá Meta"
"Store Return Policy","Chính sách hoàn trả của cửa hàng"
"Store Shipping Policy","Lưu trữ Chính sách Vận chuyển"
"Store Description","Mô tả cửa hàng"
"Store Zipcode","Mã Zip Cửa hàng"
"Store City","Thành phố lưu trữ"
"Store State/Province","Store State / Province"
"Store Country","Quốc gia"
"Store Address","Địa chỉ lưu trữ"
"Store Bank Details","Chi tiết Ngân hàng Ngân hàng"
"Store TIN Number","Lưu Số TIN"
"Store Email Address","Địa chỉ Email Store"
"Store Phone Number","Số điện thoại"
"Store Review","Store Review"
"Store Review Title","Tiêu đề đánh giá của cửa hàng"
"Store Review Description","Mô tả Đánh giá của Store"
"Store Rating","Xếp hạng cửa hàng"
"Store Review Submit","Store Review Submit"
"Seller Commission","Ủy ban Người bán"
"Order ID","ID đơn đặt hàng"
" Date","Ngày"
"Order Commission","Ủy ban đặt hàng"
"Commission Status","Tình trạng Ủy ban"
"No Commission Added Yet","Không Thêm Ủy ban"
"Commission Record","Báo cáo của Ủy ban"
"Payment Record","Biên nhận thanh toán"
"No Payment Added Yet","Chưa Thanh toán"
"Payment Transaction Number","Số giao dịch thanh toán"
"Payment Amount","Số tiền thanh toán"
"Payment Mode","Chế độ thanh toán"
"Seller Payment","Thanh toán của người bán"
"Admin Commissions","Ủy ban Quản trị"
"Submit Store Review","Gửi Đánh giá của cửa hàng"
"Thank you for your valuable review","Cảm ơn bạn đã xem xét có giá trị của bạn"
"SOLD BY : ","Được bán bởi "
"Become a Seller","Trở thành một người bán hàng"
"Store Url","Url cửa hàng"
"Become Seller","Trở thành người bán"
"Enter Unique Store URL","Nhập URL cửa hàng duy nhất"
"Waiting for admin approval","Đang chờ phê duyệt của quản trị viên"
"You removed your account previously, so to again add as seller please select yes","Bạn đã xóa tài khoản của mình trước đây, vì vậy để thêm lại với tư cách là người bán, hãy chọn yes"
"'You really want to remove as seller ?","Bạn thực sự muốn loại bỏ như là người bán?"
"Remove as seller","Xóa là người bán"
"Successfully remove as seller","Xóa thành công như là người bán"
"Store updated successfully","Store đã cập nhật thành công"
"My Store","Cửa hàng của tôi"
"View Profile","Xem Hồ Sơ "
"Filter","Lọc"
"Become Seller","Trở thành người bán"
"My Store","Cửa hàng của tôi"
