"See details","Mais informações"
"Add to Compare","Comparar"
"Sign up for our newsletter!","Receber e-mails promocionais"
"Be the first to get the latest news, exclusive offers and more.","Seja o primeiro a receber as últimas notícias, ofertas exclusivas e muito mais."
"Enter your email address","Insira o seu endereço de email"
"Subscribe","Se inscrever"
"Sold by:","Vendido por:"
"Details","Detalhes"
"Delete your Account","Deletar minha conta"
"postcode","CEP"
""postcode"","CEP"
"We take your privacy extremely seriously. This policy describes what, why and how we collect and use your personal information, how we protect it and how you can contact us.","Levamos sua privacidade extremamente a sério. Esta política descreve o que, por que e como coletamos e usamos suas informações pessoais, como as protegemos e como você pode entrar em contato conosco."
"Deleting your account will permanently erase your customer data and access to all personal information from our site.","A exclusão de sua conta apagará permanentemente seus dados de cliente e acesso a todas as informações pessoais do marketplace."
"Rating,"Avaliação"
"a copy of your data before you close your account with us.","de uma cópia de seus dados antes de fechar sua conta conosco."
"You may want to download a copy of your data before you close your account with us.","Você pode baixar uma cópia de seus dados antes de fechar sua conta conosco."
"You may want to","Você pode"
"Approved","Aprovado"
"Strictly necessary cookies","Cookies estritamente necessários"
"Download your Data","Baixar meus dados"
"Download an archive of your account data (order history, addresses, reviews and more)","Baixe um arquivo dos dados da sua conta (histórico de pedidos, endereços, avaliações e muito mais)."
"Write Your Own Question","Tem uma pergunta?"
"Write Your Question","Faça sua pergunta aqui. Não coloque informações pessoais ou de contato neste campo para não ter sua conta bloqueada."
"Customer Questions", "Últimas perguntas"
"Submit Question","Perguntar"
"My Privacy Center","Centro de privacidade"
"Enter your destination to get a shipping estimate.","Insira o seu destino para obter uma estimativa de envio."
"You submitted your question successfully.","Pergunta enviada com sucesso."
"You submitted your question for moderation.","Sua pergunta foi enviada para moderação."
"This is a question about a product","Esta é uma pergunta sobre um produto"
"Sending Information","Enviando informações"
"Full Name","Nome completo"
"The password needs at least %1 characters. Create a new password and try again.","A senha precisa ter pelo menos %1 caracteres. Crie uma nova senha."
"Incorrect CAPTCHA","O captcha está incorreto"
"Ship here","Confirmar"
"Shipping Info","Informações de envio"
"Thankyou for your valuable review","Obrigado por sua valiosa avaliação"
"Invalid Form Key. Please refresh the page.","Chave do formulário inválida. Por favor, recarregar a página. "
"Thankyou for your valuable review","Obrigado pela avaliação"
"You did not sign in correctly or your account is temporarily disabled.","Senha o email digitada errada."
"The account sign-in was incorrect or your account is disabled temporarily. Please wait and try again later.","Dados incorretos, por favor verifique."
"Shipping Rates imported successfully.","Taxas de envio importadas com sucesso."
"The condition value is incorrect. Verify and try again.","O valor da condição está incorreto. Verifique e tente novamente."
"The "CNPJ" attribute value is empty. Set the attribute and try again.","O valor do atributo "CNPJ" está vazio. Defina o atributo e tente novamente"
"The "RAZÃO SOCIAL" attribute value is empty. Set the attribute and try again.","O valor do atributo "RAZÃO SOCIAL" está vazio. Defina o atributo e tente novamente."
"The "IE" attribute value is empty. Set the attribute and try again.","O valor do atributo "IE" está vazio. Defina o atributo e tente novamente."
"Enter a search term and try again.","Preencha um termo para fazer a pesquisa."
"The shipping price is incorrect. Verify the shipping price and try again.","O valor do frete está incorreto. Verifique o preço do frete e tente novamente."
"Something went wrong while Import the Sheet.-->Please correct Matrix Rates File Format.","Algo deu errado ao importar a planilha, tente novamente."
"Something went wrong while Import the Sheet.-->Something went wrong while importing matrix rates.","Algo deu errado ao importar a planilha, tente novamente."
"Shipping Rate has been saved.","A taxa de envio foi salva."
"Something went wrong while saving the Shipping Rate. Unique constraint violation found","Algo deu errado ao salvar a taxa de envio. Violação de restrição única encontrada"
"Simple","Simples"
"Configurable","Configurável"
"empName","Empregado"
"designation","Cargo"
"comtbpany","Companhia"
"mob","Celular"
"Something went wrong while Import the Sheet.-->File to upload was not found.","Algo deu errado ao importar a planilha, arquivo para upload não foi encontrado."
"Congratulation! You have reactivated your account.","Parabéns! Você reativou sua conta."
"Please enter a quantity greater than 0.","Insira uma quantidade maior que 0."
"Customer","Cliente"
"Order Date :","Data do pedido"
"Inform the weight in KG","Informe o peso em KG"
"Price x Kg","Preço por KG"
"SKU","Código de produto (SKU):"
"Only registered users can write questions. Please <a href=""%1"">Sign in</a> or <a href=""%2"">create an account</a>","Somente usuários cadastrados podem escrever perguntas. <a href=""%1"">Faça login</a> ou <a href=""%2"">cadastre-se</a>"
"of","de"
"Return Orde","Devolver Pedido"
"Cancel order","Cancelar Pedido"
"Please specify the reason:","Por favor, especifique o motivo:"
"Checkout out as a new customer","Check-out como um novo cliente"
"Checkout out using your account","Finalizar compra usando sua conta"
"Seller","Vendedor"
"Payment Information","Dados de pagamento"
"Chargeback option","Opção de estorno"
"Reason","Motivo"
"Observation","Observação"
"Comments:","Comentários"
"Responded","Respondeu"
"concluido","concluído"
"Concluido","Concluído"
"General Service","Atendimento geral"
"Product quality","Qualidade do produto"
"Logistic service","Serviço de logística"
"Order with unpaid boleto is automatically canceled","El pedido con boleto impagado se cancela automáticamente"
"Fill in your shipping address or your billing address","Preencha seu endereço de entrega ou seu endereço de faturamento"
"Ignore this address if you chose to pick up from the store","Ignore este endereço se você optou por pegar na loja"
"Order no.","Pedido no."
"Payment method:","Método de pagamento:"
"I want to cancel my order:","Quero cancelar meu pedido:"
"I want to return my order:","Quero devolver meu pedido:"
"I need to change the shipping address","Preciso mudar o endereço de envio"
"I need to change the shipping option","Preciso mudar a opção de frete"
"I need to change the payment method","Preciso mudar o forma de pagamento"
"I bought the wrong product","Comprei o producto errado"
"I bought the wrong amount","Comprei a quantidade errada"
"I gave up on the purchase","Desisti da compra"
"Seller canceled the order","Vendedor cancelou o pedido"
"Outro: (please specify)","Outro: (favor especificar)"
"Please describe the reason for your request:","Por favor descreva o motivo da sua solicitação:"
"The product delivered was not as expected","O produto entregue não era como o esperado"
"I didn't receive the order","Não recebi o pedido"
"I received the incomplete order (Ex: Missing items)","Recebi o pedido incompleto (Ex: Faltando itens)"
"I received the wrong product, different from what is in the order","Recebi o produto errado, diferente do que está no pedido"
"I received the product with physical damage (Ex: crumpled or torn packaging)","Recebi o produto com danos físicos (Ex: embalagem amassada ou rasgada)"
"I received a product that had problems in its use","Recebi um produto que apresentou problemas no seu uso"
"I changed my mind","Mudei de idéia"
"Outro: (please specify)","Outro: (favor especificar)"
